description,category
 California Gold Nutrition Gold C   1 000mg USP 등급 비타민C 함유 면역 건강 및 전반적인 웰니스 증진에 도움  채식주의자에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
 California Gold Nutrition 비타민D3  125mcg 5 000IU  라놀린에서 추출한 비타민D3 콜레칼시페롤  함유 건강한 뼈와 치아 보조  면역계 기능 건강 증진  글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
 California Gold Nutrition LactoBif  30 프로바이오틱 락토바실러스 5종 및 비피도박테리아 3종을 비롯한 활성 프로바이오틱 균주 8종 함유 캡슐당 300억CFU 함유 소화 및 장 건강 증진  면역계 건강 강화  채식주의자에게 적합 이중 포일 블리스터로 개별 밀봉 유제품  글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
 골격 지원 튼튼한 뼈 유지에 도움 면역계 강화 유전자 변형 성분 무함유 보충제 코셔   젤라틴 함유 1968년 설립된 가족 기업 우수 제조 및 품질 관리 기준 GMP  품질 보증,면역계
 California Gold Nutrition 영아용 비타민D3 영아용 알콜 무함유 액상 비타민D3 액상 그대로 먹이거나 분유  우유  주스 또는 음식에 간편하게 첨가 영아의 적절한 비타민D3 섭취 지원  채식주의자에게 적합 글루텐  유전자 변형 성분 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
 비타민D3 1 000IU 비타민K 2 45mcg 뼈 건강 증진 심혈관계 건강 지원 유전자 변형 성분 무함유 보충제 코셔 비타민 1968년 설립된 가족 소유 기업 할랄 우수 제조 및 품질 관리 기준 GMP  품질 보증,면역계
 Nutrition for Kids   뛰어난 맛 면역계 강화 보충제 글루텐 무함유  카제인 무함유  알코올 무함유,면역계
 1973년 설립 비타민D3 125mcg  비타민K2 50mcg  뼈 강도 보충제 품질 검사 완료 대두 무함유 더 밝은 길,면역계
 California Gold Nutrition LactoBif  5 프로바이오틱 락토바실러스 5종 및 비피도박테리아 3종을 비롯한 활성 프로바이오틱 균주 8종 함유 베지 캡슐당 50억CFU 함유 소화 및 장 건강 증진  면역계 건강 강화  채식주의자에게 적합 무함유 성분  유제품  글루텐  유전자 변형 성분 또는 대두 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
 California Gold Nutrition 비타민D3  50mcg 2 000IU  라놀린에서 추출한 비타민D3 콜레칼시페롤  함유 건강한 뼈와 치아 보조  면역계 기능 건강 증진  글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,면역계
