description,category
충분한 대비 없이 감기 및 독감과 같은 질병에 걸리면 온 가족이 몇 주간 고생할 수 있습니다  California Gold Nutrition 기관지 증상 완화제 는 감기 및 독감에 걸리기 쉬운 계절에 필요한 효능을 제공하는 엄선된 식물 성분을 혼합하여 계절성 질병을 예방하는 데 도움이 됩니다   당사 고유 허브 혼합물의 효능 당사의 강력한 허브 포뮬라는 폐 관련 증상 및 코막힘을 완화하는 엄선된 식물 성분을 혼합하여 일반적인 감기 및 독감 증상을 없애거나 완화하는 데 도움이 됩니다   이 고유 혼합물은 아플 때 폐에 영향을 미치는 일반적인 증상을 없애는 데 도움이 되는 감초 뿌리  야생 체리 껍질  오샤 뿌리  로마티움 뿌리를 함유합니다   이 포뮬라는 병에 걸렸을 때 증상을 최소화하거나 사전에 이를 예방할 수 있는 훌륭한 보충제입니다   California Gold Nutrition 기관지 증상 완화제  는 여러 유익한 허브 성분을 함유한 액상 보충제로  계절마다 필요한 웰니스 루틴을 손쉽게 보충할 수 있습니다  권장량을 물이나 선호하는 음료에 추가하여 간편하게 복용할 수 있습니다  ,호흡기계
California Gold Nutrition 면역 및 호흡기 케어로 면역 반응을 증진하십시오   엘더베리와 아프리카 제라늄을 함유한 이 보충제는 계절 면역력을 강화하는 데 도움이 됩니다   면역 강화 포뮬라 이 고유한 포뮬라는 식물성 성분을 함유하여 계절 건강을 증진하는 데 도움을 줍니다   시너지를 내는 엘더베리 Sambucus nigra 와 아프리카 제라늄 Pelargonium sidoides  추출물 혼합물을 함유한 보충제로  상기도 건강을 강화하는 것으로 알려진 면역 증진 효능으로 신체의 천연 방어를 강화합니다  향상된 캡슐 인 캡슐 기술 이 보충제는 큰 액상형 캡슐 안에 미리 채워진 작은 캡슐을 넣는 캡슐 인 캡슐 기술을 사용하여 식물 추출물을 이중 조절 방출 방식으로 공급합니다  캡슐 인 캡슐 기술은 바깥쪽 캡슐 내 액체는 빠르게 방출하고 안쪽 캡슐 내 성분은 보호하며 더 천천히 방출하도록 지원합니다  California Gold Nutrition 면역 및 호흡기 케어는 아프리카 제라늄 추출물과 엘더베리 및 Sunfiber 프리미엄 혼합물인 Eldermune 을 베지 캡슐에 담았습니다  상품 설명서에 따를 경우 3개월을 복용할 수 있는 분량입니다  ,호흡기계
,호흡기계
당사의 알코올 무함유 추출물은 당사만의 저온 Bio Chelated  추출 공법을 이용하여  식물에서 생산하는 것과 동일한 비율의 시너지 효과를 내는 Holistically Balanced  Advanced Botanical Fingerprint  추출물을 생산합니다  ,호흡기계
동충하초 Cordyceps sinensis 는 에너지를 공급하고 신체 적응력을 높이는 특성으로 인해 중국 약초학자들이 전통적으로 사용해온 균사체입니다  동충하초에는 다당류 및 뉴클레오시드 등을 포함한 여러 생체활성 화합물이 들어 있습니다  이 다당류 및 뉴클레오시드의 광범위한 생물학적 활동에 대해서 많은 연구가 진행되었습니다  최신 과학 연구에 따르면 동충하초 성분에 활성산소를 제거하는 특성이 있다는 점이 나타났으며  이는 건강한 면역 시스템을 지원하고  정상적인 혈관 기능을 촉진할 수 있는 것으로 밝혀졌습니다  ,호흡기계
Doctor s Best 울트라 동충하초 플러스는 재배된 순수한 동충하초를 함유하고 있습니다  동충하초는 원기를 북돋고 여러 장기와 조직의 기능을 지원하는 회춘의 강장제로 중국에서 수 세기 동안 사용되어 온 허브입니다  이 제품에 함유된 동충하초 균주는 15 000피트 이상의 중국 티벳 고지대에서 자라는 희귀한 균류인 야생 동충하초와 유사한 것으로 중국 정부로부터 인정받았습니다  ,호흡기계
RidgeCrest Herbals는 다양하고 혁신적이며 효과적인 천연 치료제를 제공하겠습니다  그래서 여러분의 건강을 한단계 끌어 올리고 여러분이 원하는 일들을 즐겁게 할 수 있도록 지원하겠습니다  ,호흡기계
흥미로운 연구 결과에 따르면 퀘르세틴은 지방 감소에 도움을 주고 체내 건강한 세포를 증진하는 효능이 있습니다  또한 연구에 따르면 퀘르세틴을 건강한 식이 지방과 함께 섭취하면 강력한 플라보노이드의 생체이용률과 흡수율을 높일 수 있습니다  ,호흡기계
호흡계 건강에 시너지 효과를 내는 허브 혼합물입니다  비록 간단한 동작이지만 호흡은 몸에서 많은 에너지를 소모합니다  우리가 느끼지 못하지만 항상 1분에 15 25회 호흡하고 있습니다  ,호흡기계
호흡계 지원을 위한 시너지 효과 허브 혼합물  비록 간단한 동작이지만 호흡은 몸에서 많은 에너지를 소모합니다  우리가 느끼지 못하지만 항상 1분에 15 25회 호흡하고 있습니다  ,호흡기계
품질에 대한 약속 ,호흡기계
Doctor s Best 울트라 동충하초 플러스는 재배된 순수한 동충하초를 함유하고 있습니다  동충하초는 원기를 북돋고 여러 장기와 조직의 기능을 지원하는 회춘의 강장제로 중국에서 수 세기 동안 사용되어 온 허브입니다  이 제품에 함유된 동충하초 균주는 15 000피트 이상의 중국 티벳 고지대에서 자라는 희귀한 균류인 야생 동충하초와 유사한 것으로 중국 정부로부터 인정받았습니다  ,호흡기계
상품 설명  뮬레인은 유럽이 원산지이며 인류가 오랫동안 사용했던 허브입니다  뮬레인 잎에는 진하고 젤리와 같은 형태를 띠는 수용성 섬유소인 점액이 많이 함유되어 있습니다  점액은 뮬레인의 진정 효과에 기여하는 것으로 알려졌습니다  뮬레인 잎은 호흡계와 기관지가 건강하게 기능하는 것을 돕습니다  ,호흡기계
Air Power  구아이페네신 거담제는 점액을 묽게 하여 기침으로 가래를 쉽게 배출하고  기도를 청소하여 호흡기를 편안하게 해줍니다  졸리지 않는 이 포뮬라는 허브를 기본 재료로 거담제 구아이페네신을 함유하고 있습니다  ,호흡기계
Bronchial Soothe  아이비 잎추출물 Bronchial Soothe 로 편안하게 호흡하십시오  아이비 잎추출물은 수 세기 동안 기관지 건강을 증진하는 데 사용되어온 전통적인 성분입니다  Bronchial Soothe에 함유된 고유 아이비 추출물은 허브 성분 섭취를 통한 건강 증진 효과로 폐와 기관지 건강을 최적화합니다  ,호흡기계
풀 스펙트럼 허브 Advanced Botanical Fingerprint Technology  모든 상품에 대자연이 추구하는 자연의 특별함을 담았습니다   식물이 주는 진정한 가치는 자연의 전체적인 균형에 있습니다   프랭크 다멜리오 시니어  Nature  s Answer  창립자 Nature s Answer 는 전 세계에서 가장 다양한 식물 표본을 보유한 곳 중 하나로 800개가 넘는 식물 참고 기준에 대해 각각의 고유한 식물 지문을 식별했습니다  Advanced Botanical Fingerprint Technology 를 이용하여 인증된 표본은 새로 들어오는 원재료를 판단하는 기준으로 사용됩니다  정밀하게 관리되는 추출 기술을 이용하여 각 허브의 holistic balance 를 유지하고 그 가치를 고스란히 담아 고객에게 전달합니다  고객이 복용하는 상품의 진정성  안전성  효능  holistically balanced   그리고 Nature s Answer 를 보증합니다  ,호흡기계
품질   순도   효능 Paradise 제품은 10년 이상 Best of Supplements Awards를 수상했습니다  당사는 최고 수준의 우수성 표준을 충족하는 프리미엄급 초순수 성분을 찾는 데 전념합니다  당사는 불필요한 충전제  결합제  보존제 또는 유동화제를 절대 캡슐화 공정에 넣지 않습니다  액티브 홀 스펙트럼의 효능 ,호흡기계
환절기나 간헐적 코막힘이 있는 경우 콧물이 과다하게 분비될 수 있으며 이로 인해 호흡기 상부 및 하부의 기능이 저하될 수 있습니다  MucoStop 에는 편안한 호흡을 위해 특별하게 제조된 효소 혼합물이 함유되어 있습니다  고효능 효소인 Mucolase 는 부비강과 비강의 과다한 콧물을 분해하고 제거하는 신체의 자연스러운 능력을 지원합니다  ,호흡기계
,호흡기계
버섯 균사체의 효능 ,호흡기계
품질에 대한 약속 ,호흡기계
폐 및 호흡기 전반의 건강을 강화하는 전통 허브  뮬레인  플랜테인  Gaia Grown  마시멜로 뿌리 함유  순도   깨끗하게 모든 상품에 대해 농약  미생물 및 중금속 검사를 시행합니다  무결성   있는 그대로 세계 최초의 허브 추적 가능 플랫폼입니다  효능   강력하게 ,호흡기계
Respir All 은 건강한 호흡기 기능에 영양적으로 도움을 주는 주요 비타민  미네랄  허브 추출물 영양 보충제입니다  ,호흡기계
동종요법은 금기증  당신이 복용하는 기타 약품의 방해  또는 부작용이 없이 신체의 치유반응을 자극하여 자체 치유력을 돕도록 작용하는 치료법에로의 자연적 접근법입니다  식물원천에서 얻은 천연 항균성 제품은 많은 현대 의약품들의 부작용이 없이  신체의 자연 면역계의 강한 예방약  치료제  자극제로 된다고 증명되고 있습니다  또한 세균 균주에 의한 변형때문에 생기는 효능손실이 덜합니다  ,호흡기계
전통적인 용도  특별한 버섯 동충하초는 동아시아 전통 의학에서 성욕  성 기능  생식 및 운동 능력 향상 등 다양한 효능으로 사랑받고 있는 매우 강력한 버섯입니다  다른 버섯과 달리 동충하초는  포식성  유기체로  균류 중 가장 강력하고 특별한 버섯입니다  아답토젠 작용을 하는 것으로 보고 스트레스를 완화하기 위해 사용하는 경우도 있습니다  1회 제공량당 프리미엄 동충하초 추출물 1 000mg이 함유되어 있어 복용할 때마다 강력한 효과를 얻을 수 있습니다  또한 이 포뮬라에서는 BioPerine 이 셀레늄의 생체이용률을 높여 빠른 흡수를 촉진하고 최적의 효과를 제공합니다  기초를 탄탄하게 Force Factor 펀더멘탈 포뮬라는 당사의 프리미엄 기능 보충제 상품군과 함께 복용하도록 설계되었습니다  Unleash Your Potential  건강과 웰빙을 위한 기초 구성 요소는 탁월한 효능을 제공하는 성분들입니다  단독으로 또는 다른 상품과 함께 복용하는 강력한 화합물로 프리미엄 영양분을 공급하고 더 만족스러운 삶을 영위할 수 있도록 돕습니다  특정 문제를 해결하든 구체적 결핍을 해소하든 기존의 특성을 강화하든 Force Factor  펀더멘탈 포뮬라는 과학적 유효성을 위해 당사의 종합 기능 보충제와 마찬가지로 엄격한 기준과 임곗값을 활용하여 개발되었습니다  최적의 흡수율과 효능을 위해 과학적 근거가 있는 용량의 핵심 성분을 BioPerine  및 셀레늄과 결합하였습니다  이러한 중점 성분 조합물이 빠르고 일관되게 작용하여 강력한 효과를 냅니다  원하는 것을 모두 제공하고 원치 않는 것은 전혀 제공하지 않습니다  ,호흡기계
From the Forest  to Our Farm  to You  Host Defense  동충하초 히말라야산맥 사람들은 고된 고도 활동 중에 동충하초를 오랫동안 사용했습니다  중국에서도 면역 강장제로 동충하초를 수 세기 동안 사용했습니다  동충하초에 대한 관심이 되살아나고 있으며  항산화 DNA 보호 기능과 폐 건강을 지원하는 효과로 주목받고 있습니다  특별한 효능의 동충하초는 다양한 면역 지원 작용으로 점점 더 연구가 확대되고 있습니다  Host Defense  동충하초는 모든 성분과 함께  최적으로 건조된 활성 유기농 인증 버섯 균사체를 사용하며  자연적인 면역력에 필수적인 다당류 55  이상 제공량당 550mg   다양한 세포 외 성분 및 기타 균류 영양소를 제공합니다  미국의 베스트셀링 버섯 브랜드 Host Defense   최고 품질  과학적으로 입증된 효능 ,호흡기계
편안한 호흡 효과적인 결과를 보장하는 강력하고 안전한 성분  타임 Thymus vulgaris 은 기관지와 폐에 좋으며 호흡기 건강 개선에 도움이 됩니다  담쟁이 Hedera helix 는 기도와 폐 건강을 효과적으로 보조합니다  타임과 담쟁이는 기관지 보조와 관련하여 임상적으로 연구된 성분입니다  Bronchial Clear는 졸음과 불안 증상 없이 기관지 및 폐 건강을 보조하는 최고의 제품입니다  기관지 건강과 관련해 독일에서 가장 많이 판매되는 강력한 조합의 포뮬러입니다  ,호흡기계
슈퍼 푸드 중의 슈퍼 푸드  버섯에는 다른 식물이나 동물성 원료에는 없는 고유의 생체 활성 영양소가 다량 함유되어 있습니다  Om은 1회 제공량당 2 000mg의 유기농 인증 버섯 분말 혼합물을 제공합니다  동충하초 기대 이상의 효능을 주는 자연 성분  탁월한 효능의 유기농 버섯이 있다면 바로 동충하초입니다  이 강력한 효능의 버섯은 높은 고도에서 티베트 목동이 처음 발견했습니다  약초학자의 인정을 받는 동충하초는 산소 흡수를 최적화하고 지구력을 증가시킴으로써 신체 에너지와 활력을 증진하는 데 도움을 줍니다  목표 달성을 위해 내면의 힘과 체력을 북돋으십시오  OM 원료를 직접 재배합니다 ,호흡기계
