effect,category
California Gold Nutrition 영아용 비타민D3 영아용 알콜 무함유 액상 비타민D3 액상 그대로 먹이거나 분유  우유  주스 또는 음식에 간편하게 첨가 영아의 적절한 비타민D3 섭취 지원  채식주의자에게 적합 글루텐  유전자 변형 성분 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,어린이 건강
California Gold Nutrition 어린이용 종합비타민 구미젤리 필수 비타민 및 미네랄 혼합물 천연 딸기  오렌지  체리 맛 건강한 라이프스타일 증진  만 4세 이상 어린이용 상품 채식주의자에게 적합 젤라틴  글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,어린이 건강
Nutrition for Kids   뛰어난 맛 면역계 강화 보충제 글루텐 무함유  카제인 무함유  알코올 무함유,어린이 건강
필수 영양소 어린이를 위한 필수 영양소  상큼한 맛 보충제 코셔 파르브 글루텐  알코올 및 카세인 무함유,어린이 건강
배앓이 및 소화를 편안하게 비타민D3 함유 프로바이오틱 드롭 프로바이오틱 보충제 유아를 위한 프로바이오틱 케어 과학으로 검증된 탁월한 효과의 프로바이오틱 우유 무함유 유당 무함유 글루텐 무함유,어린이 건강
Orchard Fruits  및 Garden Veggies  분말 혼합물 2정당 150mg  완전한 종합비타민 보충제,어린이 건강
Orchard Fruits    Garden Veggies  분말혼합물 구미젤리 2개당 100mg  종합비타민 보충제 전체 비타민B군 복합체 15가지 비타민 미네랄과 이노시톨 함유 젤라틴이 아닌 펙틴으로 제조 맛있는 체리  오렌지  포도 맛 채식주의자에게 적합뼈 건강 눈 건강 세포 에너지 면역 건강,어린이 건강
뛰어난 과일 맛 글루텐 무함유 어린이용 종합비타민 보충제 면역계 증진 천연 색소 및 향료 품질 보장 품질 검사 완료 30년 이상 지켜 온 신뢰할 수 있는 품질,어린이 건강
Nutrition for Kids  뛰어난 맛 건강한 골격계와 뼈 성장 보충제 유전자 변형 성분 무함유 프로젝트 인증 NSF 글루텐 무함유 인증 카제인 무함유 알코올 무함유 화려한 수상 경력,어린이 건강
Nutrition For Kids   Dr  머레이 C  클라크 박사  동종의학사  공인침술사  수상 경력에 빛나는 보충제 보충제 유전자 변형 성분 무함유 프로젝트 인증 NSF 글루텐 무함유 인증,어린이 건강
음식을 에너지로 전환하는 데 도움이 되는 4가지 비타민B군 100  이상 함유  Orchard Fruits    Garden Veggies  분말 혼합물 구미젤리 3개당 200mg  종합비타민 보충제 완벽한 비타민B군 복합체 젤라틴이 아닌 펙틴으로 제조 15가지 비타민 미네랄과 이노시톨 함유 맛있는 체리  오렌지  포도 맛 채식주의자에게 적합뼈 건강 눈 건강 세포 에너지 면역 건강,어린이 건강
비타민 D3  K2 및 프로바이오틱스 어린이용 츄어블 보충제 설탕 무함유 혼합 기타 천연 향료 함유 비건 상품 글루텐 무함유 뼈 건강 증진 소화 기능 강화 면역력 강화 에너지 증진,어린이 건강
미국의  1 구미 비타민 브랜드 2018 요리사 최우수상 American Culinary Chefsbest  어메리칸 컬리너리 쉐프베스트  수상 천연 원료 색소 및 향료 2 배 더 많은 비타민 D  루테인 50 mcg 함유 건강 보조 식품체리 딸기 오렌지 파인애플 블루베리고과당 옥수수 시럽 없음 합성  FD  C  염료 없음 인공 향료 또는 감미료 없음 글루텐 또는 유제품 없음비타민 A 눈 지원 비타민 B 6   B 12 세포 지원 비타민 C 면역 지원 비타민 D 뼈 지원 비타민 E 항상화제,어린이 건강
California Gold Nutrition 영유아용 DHA EPA 및 비타민D3가 첨가된 트리글리세리드 형태 오메가3 DHA 함유 노르웨이산 100  자연산 북극 대구로 제조 영유아의 건강한 두뇌  신경계  시력 발달 증진  글루텐 및 유전자 변형 성분 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,어린이 건강
다른 키즈 브랜드에 비해 피쉬 오일을 최대 10배 많이 함유 다른 키즈 브랜드에 비해 DHA를 최대 8배 많이 함유 비린 맛 없음 보장 버스트릿 1개당 천연 피쉬 오일 500mg 보충제,어린이 건강
설탕 무함유 기타 천연 향료 함유 어린이용 츄어블 마그네슘 보충제 뼈 건강 증진 면역력 강화 에너지 증진 심장 건강 증진 효모 무함유 글루텐 무함유 비건 상품,어린이 건강
우수한 중성지방 형태 유전자 변형 성분 무함유 인증 의사 추천 제품 두뇌 및 시력 기능 증진 보충제 매일 1정,어린이 건강
뇌 건강 증진 100mg DHA 물고기 모양 소프트젤 보충제 유전자 변형 성분 무함유 코셔   젤라틴 함유 할랄 우수 제조 및 품질 관리 기준 GMP  품질 보증 GoEd 오메가3 자랑스러운 멤버,어린이 건강
어린이용 츄어블 비타민D 보충제 기타 천연 향료 함유 글루텐 무함유 채식주의자에게 적합 뼈 건강 증진 면역력 강화,어린이 건강
진짜 과일 즙 퓨레로 제조 의사가 개발한 상품 15가지 데일리 필수 비타민과 미네랄 보충제 일상의 웰니스 증진 글루텐 및 유전자 변형 성분 무함유,어린이 건강
미국 판매 1위 구미젤리 비타민 브랜드 Powered by Vitafusion  EPA  DHA  ALA 의사 검사 완료   입증된 영양소 흡수  보충제 American Culinary ChefsBest   2019 Best Taste Award 수상 MEG 3  믿을 수 있는 원료 Kids Love  Em  Parents Trust Them  라즈베리 레모네이드 맛인공향료 또는 감미료 무함유 합성 FD C  염료 무함유 액상과당 무함유 글루텐 또는 유제품 무함유구미젤리 1개당 오메가3 EPA DHA   ALA 50mg 비타민C 항산화제 비타민E 항산화제,어린이 건강
천연 식품 농축액이 함유된 어린이용 츄어블 보충제 채식주의자에게 적합 글루텐 무함유 건강한 활성산소 방어 및 전반적인 웰빙을 위한 영양 공급,어린이 건강
32일분 채식주의자에 적합 글루텐  밀  효모  유제품 무함유 아동의 학습 능력 지원 천연 식품 복합체 보충제 BPA 무함유   무독성 신재생 에너지로 제조,어린이 건강
미국 판매 1위 구미젤리 비타민 브랜드 EPA DHA 및 ALA 뇌 및 눈 건강을 위한 오메가3 Powered by Vitafusion  2020 ChefsBest Award 최우수상 수상 보충제 Meg 3  Trust the Source 수상에 빛나는 맛  영양과 재미 모두 챙긴 상품  과실수 심기를 통한 지역 사회 성장인공 향료 및 감미료 무함유 합성 FD C  염료 무함유 액상과당 무함유 글루텐 및 유제품 무함유구미젤리당 오메가3 50mg 비타민C 및 D의 면역 강화 비타민C 및 E의 항산화 지원,어린이 건강
Nutrition for Kids   조제  머레이 클라크 박사  D  Hom   공인침술사  뛰어난 맛 보충제 코셔 파르브 글루텐 무함유  알코올 무함유  카제인 무함유 ,어린이 건강
두뇌 발달 학습 건강한 면역 설탕 무함유 오메가3 600mg 두뇌 발달 및 면역 기능 강화를 위한 피쉬 오일 구미젤리 보충제 제3 기관 순도 검사 완료 IGEN 유전자 변형 성분 무함유 검사 완료,어린이 건강
면역력 증진에 좋은 비타민D3 뼈에 좋은 비타민K 보충제 모든 배치에 대해 제3 기관 품질 검사 완료 Vitamin Angels  맞춤형 파트너 Clean Label Project  Purity Award 수상 IGEN  유전자 변형 성분 무함유 검사 완료작은 생선에서 추출한 오메가3 피쉬 오일 아연 구연산아연  엽산 메틸엽산  비타민B12 메틸코발라민  비타민K1   K2 MK7  비타민B6 PSP  베타카로틴 콜린 VITACHOLINE  ,어린이 건강
젤라틴 무함유 천연 향료 글루텐 무함유 보충제 Vegan Action 비건 인증,어린이 건강
Nutrition for Kids   자연 요법 의사 Clarke  D  Hom   L Ac  박사 제조 아이들이 좋아하는 맛 보충제 유전자 변형 성분 무함유 프로젝트 인증 NSF 글루텐 무함유 인증,어린이 건강
BPA 무함유 플라스틱 병 건강  자연  삶 많은 영양소의 일일 권장량 100  함유 심대를 위한 종합   비타민   미네랄 포뮬라 삼키기 좋은 캡슐 건강 보조 식품,어린이 건강
두뇌 발달 및 면역계 기능 강화 미국 1위 피쉬 오일 브랜드  뛰어난 흡수율 오메가3 530mg 피쉬 오일 보충제 지속가능성 인증 뛰어난 흡수율 비린내 없는 깔끔한 맛 Igen  유전자 변형 성분 무함유 검사 완료 Friend of the Sea  지속가능성 인증,어린이 건강
판매 1위 브랜드 복부 팽만 배앓이 뒤척임 딸꾹질로 인한 간헐적 소화 불량 완화 염료  알코올  파라벤 무함유 액상 보충제 흘리지 않는 주사기 어댑터 회향 및 생강 추출물 안전하고 순함 100  채식주의 및 비건 제품 냉장 보관 필요 없음 인공 향료 또는 색소 무함유 여성 소유 및 경영 기업 NSF   성분 인증 모든 포장재에 BPA  PVC 및 프탈레이트 무함유,어린이 건강
기타 천연 향료 함유 비건 상품 글루텐 무함유 뼈 건강 증진 에너지 증진 뇌 기능 강화,어린이 건강
Science Based Nutrition  Doctor s Best  제조 건강한 성장 보충제 Be  채식주의자에게 적합 글루텐 무함유 젤라틴 무함유 천연 향료 및 색소정상적인 뼈대 및 근육 발달 증진 칼슘 신진대사를 조절하여 어린이의 신체 발달 지원 건강한 면역 기능 강화,어린이 건강
필수 제품 Nutrition for Kids   츄어블 뛰어난 맛 건강한 두뇌 발달 지원 보충제 NSF 글루텐 무함유 인증,어린이 건강
Oslomega 어린이용 오메가3 피쉬 오일 노르웨이산 KD P r  피쉬 오일 천연 레몬 향 EPA 370mg DHA 230mg 중성지방 형태 건강한 성장 및 두뇌 발달에 도움  품질 관리 검사를 받은 cGMP 시설에서 제조,어린이 건강
기타 천연 향료 함유 비건 상품 글루텐 무함유 설탕 무함유 면역력 강화 항산화 효과 미용 효과,어린이 건강
진짜 과일 즙 퓨레로 제조 의사가 개발한 상품 엘더베리  아연 및 비타민C   D 면역계 건강 증진 보충제 글루텐 및 유전자 변형 성분 무함유,어린이 건강
가스로 인한 소화 불량 완화 안전하고 순하게 작용 빠르게 작용 염료 및 파라벤 무함유 100회 분량 간편하게 복용할 수 있는 주사기 천연 생강 향료 몇 분 안에 작용하는 빠른 효과 냉장 보관 불필요 파라벤 무함유 인공 향료 색소 무함유 여성 소유 및 경영 기업,어린이 건강
Stay Sharp 종합비타민 1932년 설립 혁신적인 품질 보충제 깨끗한 품질 유기농 슈퍼 과일  채소 및 녹색 채소 32가지 Ecoganic 식품,어린이 건강
어린이용 츄어블 항산화제 보충제 천연 식품 농축물 함유 글루텐 무함유 저자극성 채식주의자에게 적합 전반적인 건강을 위한 영양 보조제,어린이 건강
Fresh From Farm To Tablet  B  corp  인증 글리포세이트 잔여물 무함유 125종 이상의 살충제 및 제초제 성분 검사 완료 NSF 글루텐 무함유 인증 채식주의자에게 적합 코셔 유제품 무함유   대두 무함유 에너지 생성 및 건강한 신경계 지원 종합비타민 및 허브 보충제,어린이 건강
공식 영아용 오메가3   미국 임신 협회 American Pregnancy Association  신경계 두뇌 눈 비타민D3가 포함된 오메가3 1 050mg 우수한 중성지방 형태 유전자 변형 성분 무함유 인증 제3 기관 순도 검사 완료 보충제 분자 증류 | 순도 보증 투약에 편리한 계량 스포이트가 포함되어 있음 영아용 DHA는 분유나 음식에 쉽게 첨가할 수 있음 자연산 신선도 및 순도가 뛰어남 Friend of the Sea 인증두뇌 발달 건강한 신경계 발달 시력 발달,어린이 건강
채식주의자에게 적합 젤라틴 무함유 천연 향미료 글루텐 무함유 보충제 자연스럽고 맛있는 향,어린이 건강
보충제 만 2세 이상 과학적으로 검사 완료 면역력 강화 풍부한 항산화제 함유 코셔  Beth Din De Paris의 수석 랍비가 감독함 면역계 증진 바이러스 학자가 개발 과학적으로 검사 완료 맛있는 시럽 엘더베리의 영양을 함유한 자연스러운 맛과 향,어린이 건강
뼈  근육  치아 건강 비건 젤라틴 무함유 천연 향료 글루텐 무함유 보충제 Vegan Action에 따른 비건 인증딸기  오렌지  레몬  포도  체리  자몽,어린이 건강
맛이 좋습니다  삼키기 쉬움 오메가3 680mg 우수한 중성지방 제형 유전자 변형 성분 무함유 인증 보충제 분자 증류|순도 보증 제3자 순도 검사 완료 자연산 순수 성분 Friend of the Sea 인증 뛰어난 선도 생선 비린내가 나지 않음,어린이 건강
뛰어난 흡수력 혈액 건강 에너지 생성 최적의 웰니스 글루텐 무함유 인공 보존제 무함유 효능 및 품질 보증 FDA 등록 시설에서 제조,어린이 건강
보충제 건강한 근육 기능 채식주의자 비건에게 적합,어린이 건강
어린이용 종합비타민 보충제 천연 원료로 낸 맛과 색상 비타민D로 어린이의 뼈 발달에 도움,어린이 건강
1969년 설립 면역 기능 강화 제공량당 30mg 보충제,어린이 건강
배앓이 및 소화를 편안하게 임상 검증된 상품 프로바이오틱 보충제 과학에 근거한 획기적인 프로바이오틱 유아를 위한 프로바이오틱 케어 우유 무함유 유당 무함유 글루텐 무함유,어린이 건강
Igen 유전자 변형 성분 무함유 검사 완료 Superior Taste Award 수상 오메가3 800mg 신선도 및 효능  순도 보장 보충제 심장 기능 두뇌 강화 건강한 신체 발달 글루텐 무함유 인공 보존제 무함유 IFOS 국제 피쉬 오일 표준 인증  제품,어린이 건강
젤라틴 무함유 천연 향료 사용 글루텐 무함유 보충제 Vegan Action 비건 인증,어린이 건강
진짜 과일 즙 퓨레로 제조 의사가 개발한 상품 10억 배양균 및 프리바이오틱 FOS 위장관 및 면역계 건강 증진 보충제 글루텐 및 유전자 변형 성분 무함유,어린이 건강
아이들을 위한 영양분  설계  Dr  Murray C  Clarke  D Hom   L  Ac  면역 포뮬러 신체 방어를 위한 면역 강화 건강 보조 식품,어린이 건강
보충제 설탕 및 글루텐 무함유 천연 향료 및 색소 채식주의자 비건에게 적합 순도 및 효능 보장,어린이 건강
이온성 미네랄 미네랄 보충제 복용 자체보다는 흡수가 더 중요함 눈으로 보며 맛과 느낌으로 순도를 확인할 수 있습니다  위에 부담을 주지 않음 글루텐 무함유 비건 제품 유전자 변형 성분 무함유 100  생체이용성,어린이 건강
1 000IU 25mcg  보충제 뼈 건강 면역 보강 성장 및 발달 1965년부터 최고 품질의 영양 보충제 공급 글루텐 무함유 대두 무함유 인공 보존제 무함유 효능 및 품질 보증 미국 식품의약국 FDA  등록 시설에서 제조,어린이 건강
IGEN   유전자 변형 성분 무함유 검사 완료 오메가3 800mg Superior Taste Award 수상 신선도 및 효능  순도 보장 보충제 심장 기능 두뇌 강화 건강한 신체 발달 글루텐 무함유 인공 보존제 무함유 국제 어유 표준 IFOS  인증 Friend of the Sea 인증,어린이 건강
효능 보장   상온 보관 가능 냉장 보관 불필요 프로바이오틱   비타민C   D 50억 CFU 보장 프로바이오틱 균주 14종 면역계와 소화계 건강 증진 USDA 유기농 인증 유전자 변형 성분 무함유 프로젝트 인증 맛있는 유기농 베리 체리 츄어블 글루텐 무함유 유제품 무함유 대두 무함유 당류 무함유 프로바이오틱 보충제 QCS 유기농 인증 채식주의자에게 적합면역계   소화계 지원   50억 CFU  프로바이오틱 14종  비타민C   D   유기농 암라에서 추출한 비타민C 30mg   비타민D 400IU   건강한 면역계 유지를 돕는 프리바이오틱 섬유소  Organic Matters   독성 살충제와 항생제  호르몬  유전자 조작 없이 재배하였음 ,어린이 건강
두뇌 발달 및 면역계 기능 강화 미국 1위 피쉬 오일 브랜드  뛰어난 흡수율 오메가3 530mg 피쉬 오일 보충제 지속가능 인증 비린내 없는 깔끔한 맛 Igen  유전자 변형 성분 무함유 검사 완료 Friend of the Sea    지속 가능성 인증,어린이 건강
