description,category
 California Gold Nutrition MEM Food 노루궁뎅이버섯  L 세린  블루베리  아세틸 l 카르니틴  강황  트랜스 레스베라트롤  소나무껍질추출물  PQQ가 함유된 MEM 혼합물 기억력 및 인지력 증진  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 우수 제조 및 품질 관리 기준 cGMP  인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 California Gold Nutrition 루테인   제아잔틴  10mg 금잔화 Tagetes erecta  추출물에서 유래한 루테인 및 제아잔틴 함유 mGold  금잔화 추출물로 제조 과도한 블루라이트 노출로부터 회복하는 데 도움  전반적인 황반 건강에 도움  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 보충제 36 1 표준화 항산화 기능 순도 및 효능 보장,눈-시력
 Science Based Nutrition  루테인   제아잔틴 시력 기능을 강화하고 활성산소를 중화시키는 데 도움 보충제 유전자 변형 성분 무함유   글루텐 무함유 시각 기능 증진에 도움이 됩니다  일상의 주변 환경에 존재하는 유해한 고에너지 블루라이트로부터 눈을 보호하는 데 도움이 됩니다  디지털 기기를 사용할 때 눈의 건강을 지키는 데 도움이 됩니다  활성산소 중화에 도움이 됩니다 ,눈-시력
 California Gold Nutrition 아스타잔틴 AstaLif  순수 아이슬란드 아스타잔틴 함유 미세조류 헤마토코쿠스 플루비알리스에서 유래한 성분 뇌  눈  피부  심장  관절 건강 강화  생리 활성 99  3S 3 S  이성질체  글루텐  유전자 변형 성분 및 대두 무함유 cGMP 인증 시설에서 제조,눈-시력
 California Gold Nutrition 루테인 및 제아잔틴  20mg 금잔화 추출물에서 유래한 루테인 및 제아잔틴 함유 mGold  금잔화 추출물로 제조 과도한 블루라이트 노출로부터 회복하는 데 도움  전반적인 황반 건강에 도움  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 California Gold Nutrition 루테인 및 제아잔틴  20mg 금잔화 추출물에서 유래한 루테인 및 제아잔틴 함유 mGold  금잔화 추출물로 제조 과도한 블루라이트 노출로부터 회복하는 데 도움  전반적인 황반 건강에 도움  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 California Gold Nutrition 아스타잔틴 AstaLif  순수 아이슬란드 아스타잔틴 함유 미세조류 헤마토코쿠스 플루비알리스에서 유래한 성분 뇌  눈  피부  심장  관절 건강 강화  생리 활성 99  3S 3 S  이성질체  글루텐  유전자 변형 성분 및 대두 무함유 cGMP 인증 시설에서 제조,눈-시력
 엑스트라 스트렝스 세포 보호 강력한 활성산소 중화제 균형 잡힌 면역계 반응 지원 유전자 변형 성분 무함유 보충제 전반적인 건강 1968년 설립된 가족 기업 GMP 품질 보증,눈-시력
 Science Based Nutrition  OptiLut  금잔화 꽃추출물로 제조 천연 루테인 및 제아잔틴 눈 피로 완화 및 건강 강화 오랜 스크린 시청 시간 보충제 1회 제공량당 20mg 유전자 변형 성분 무함유   글루텐 무함유   대두 무함유   비건에게 적합 눈 기능 강화 인지력 증진 활성산소 중화 작용 증진 오랜 화면 시청으로 인한 눈의 피로 완화,눈-시력
 Lake Avenue Nutrition 아스타잔틴 헤마토코쿠스플루비알리스 추출물에서 추출 항산화 지원  채식주의자에게 적합 무함유 성분  글루텐  유전자 변형 성분  대두 GMP 인증 시설에서 생산,눈-시력
 글루텐 무함유 눈 건강 비타민   미네랄 보충제 비교 대상  루테인 함유 Ocuvite   품질 보증   품질 검사 완료,눈-시력
 Science Based Nutrition  루테인 및 제아잔틴 보충제 시력 기능을 강화하고 활성산소를 중화시키는 데 도움 유전자 변형 성분 무함유 글루텐 무함유 눈 기능 증진 도움 일상의 주변 환경에 존재하는 유해한 고에너지 블루라이트로부터 눈을 보호 디지털 기기를 사용할 때 눈의 건강을 지키는 데 도움 활성산소 중화 작용 증진,눈-시력
 하루 1회 글루텐 무함유 유전자 변형 성분 무함유 LE 인증 건강한 시력 유지를 위한 식물성 추출물 보충제,눈-시력
 눈 건강 지원 강력한 카로티노이드 항산화제 건강한 염증 반응 베지 포뮬라 우수 제조 및 품질 관리 기준 GMP  품질 보증 보충제,눈-시력
 글루텐 무함유 하루 1정 유전자 변형 성분 무함유 LE 인증 건강한 시력 유지를 위한 식물성추출물 보충제 눈 건강을 지원하는 루테인  메소제아잔틴 및 제아잔틴 함유 단일 소프트젤로 눈에 종합적으로 필요한 영양소를 제공 아스타잔틴으로 눈의 피로도 감소 야간 시력을 지원하는 베리 플라보노이드 함유 건강한 시력 지원을 위한 최적의 사프란 용량 제공,눈-시력
 Lake Avenue Nutrition 루테인  20mg 금잔화 꽃 Tagetes erecta 에서 추출한 루테인 및 제아잔틴 함유 항산화제 기능 및 눈 건강 강화  베지 소프트젤 120정 채식주의자에게 적합 글루텐  유전자 변형 성분  대두 무함유 GMP 시설에서 생산,눈-시력
 보충제 건강한 눈 기능 순도 및 효능 보장,눈-시력
 글루텐 무함유 유전자 변형 성분 무함유 LE 인증 임상 시험을 완료한 유러피안 포뮬라 보충제 건강하고 정상적인 안압을 유지하여 안구 건강 증진 혁신적 포뮬라에 담긴 두 가지 새로운 식물 추출물로 생물학적 반응에 도움 2010년 유럽 안구 건강 임상 실험으로 증명,눈-시력
 California Gold Nutrition 프랑스산 포도씨추출물 Vitaflavan  특허 포도씨추출물 함유 프랑스 남서부 지방에서 재배한 프랑스산 포도씨추출물로 제조 건강한 피부 재생  색소 침착 및 햇볕으로부터 보호  심혈관계 건강 증진  활성산소 제거 및 항산화 기능에 도움  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 보충제 제아잔틴 7mg 순도   효능 보장,눈-시력
 활성산소 제거제 건강한 혈관 기능 균형 잡힌 면역 반응 암라 함유 코셔 Pycnogenol Horphag Research 보충제 채식주의자 및 비건에 적합 유전자 변형 성분 무함유 1968년 설립된 가족 기업 우수 제조 및 품질 관리 기준 GMP  품질 보증,눈-시력
 코코넛오일 함유 루테인 20mg | 제아잔틴 4mg 보충제 비건 인증 글루텐 무함유 우수 제조 관리 기준 cGMP 준수 제3 기관 품질 검사 완료 유전자 변형 성분 무함유 프로젝트 인증 Lute gen 루테인 함유,눈-시력
 일회용 멸균 스포이트 진정 및 상쾌함 보존제 무함유 눈 자극의 다양한 증상 완화 안구 건조증   알레르기   눈의 피로감 자연적인 방식으로 건강을 지원 동종 요법 의약품 동종 요법 의약품의 세계적인 리더 따갑지 않은 포뮬라 혈관수축제 무함유 및 아스트린젠트 무함유 충혈 부작용 없음 눈의 피로감 빛과 눈부심 디지털 디스플레이 공기 중의 자극유발물질 꽃가루  먼지 ,눈-시력
 Science Based Nutrition  보충제 유전자 변형 성분  글루텐 및 대두 무함유 시력 기능을 강화하고 활성산소를 중화시키는 데 도움 눈 기능 증진 도움 해로운 블루라이트 흡수 도움 인지력 강화 활성산소 중화 작용 증진,눈-시력
 보충제 다중 시스템 항산화제 유전자 변형 성분 무함유 인증,눈-시력
 보충제 제아잔틴 3 5mg 순도   효능 보장,눈-시력
 1969년 설립 고급 은행나무 추출물 시각 건강 포뮬라 1 회 제공량당 은행나무추출물 60mg 보충제 비건,눈-시력
 글루텐 무함유 눈 건강을 위한 비타민 및 미네랄 보충제 Ocuvite Extra와 비교 루테인  아연  비타민B 함유 품질 보장  품질 검사 완료,눈-시력
 눈 건강 지원 루테인 에스터에서 분리한 유리 루테인 20mg 황반 건강 증진 활성산소 제거 유전자 변형 성분 무함유 보충제 채식주의자 및 비건에 적합 일반 건강 1968년 설립된 가족 기업 우수 제조 및 품질 관리 기준 GMP  품질 보장,눈-시력
 시각적 활동 촉진 보충제 유전자 변형 성분 무함유 LE 인증 눈 건강 및 건강한 안구 순환 지원 전신 건강을 증진하는 안토시아닌 눈의 편안함 및 건강한 안구 윤활 지원,눈-시력
 California Gold Nutrition 프랑스 해송 껍질추출물 Oligopin  특허 소나무 껍질추출물 함유 프랑스 레 랑드 숲에서 채취 항산화제  심혈관  혈관긴장 기능 지원  활성산소 제거 및 항염증 효능 촉진  무함유 성분  글루텐  유전자 변형 성분  대두 cGMP 인증 시설에서 제조 100  골드 개런티 Gold Guarantee ,눈-시력
 California Gold Nutrition 아스타카로티노이드 복합체 루테인  라이코펜  아스타잔틴  제아잔틴  피코사이아닌 및 알파카로틴  베타카로틴  감마카로틴 함유 mGold  금잔화 꽃추출물로 제조 눈 건강 및 세포 기능 강화  채식주의자와 비건에게 적합 글루텐  유전자 변형 성분  대두 무함유 cGMP 인증 시설에서 생산 100  골드 개런티 Gold Guarantee ,눈-시력
 Mild By Nature Pycnogenol   세럼 프랑스해송껍질추출물 모든 피부 타입에 적합  pH 균형  크루얼티프리 파라벤 및 프탈레이트 무함유,눈-시력
 최대 12시간 동안 지속되는 진정 효과 건조함  따가움  자극 완화 멸균 홍조 완화 수분 공급 진정 및 보호 빠른 효과 가벼운 눈 자극으로 인한 눈 충혈 완화 추가적인 자극이나 눈 건조를 방지하기 위한 보호제 안구 건조증으로 인한 화끈거림과 자극을 일시적으로 완화,눈-시력
